15713363	Bar
16719844	General Entertainment
16570379	Speakeasy
138723666	Soccer Stadium
138723666	Music Venue
138723666	Soccer Field
17010390	Bakery
17010390	Dessert Shop
17010390	Coffee Shop
68141346	Bar
27661576	Beer Garden
19409508	Bar
19409508	Lounge
21813504	Ethiopian Restaurant
14929640	Italian Restaurant
19409508	Bar
19409508	Lounge
3721521	Latin American Restaurant
3721521	Spanish Restaurant
45442349	Italian Restaurant
45442349	Pizza Place
45442349	Wine Bar
9836742	Spanish Restaurant
9836742	Hotel Bar
9836742	Nightclub
30064686	Stadium
30064686	Music Venue
30064686	Hockey Arena
17971770	Bridge
17971770	Scenic Lookout
28666090	Chinese Restaurant
26581285	Convenience Store
175755511	Sushi Restaurant
175755511	Eastern European Restaurant
175755511	Restaurant
8466412	Cocktail Bar
8466412	Bistro
8466412	Whisky Bar
7631932	Bar
7631932	Lounge
14618117	Bakery
18775436	Neighborhood
117294809	Bar
29472085	Indie Theater
29641883	Gay Bar
29641883	Sports Bar
29641883	Bar
19634895	Thai Restaurant
19634895	Asian Restaurant
19634895	Indian Restaurant
12471262	Gastropub
18439538	Sports Bar
18439538	Bar
18439538	Sandwich Place
15158420	Stadium
15158420	Music Venue
15158420	Hockey Arena
142683977	Sports Bar
142683977	Bar
142683977	American Restaurant
62244598	Cocktail Bar
62244598	Bar
62244598	Lounge
62629317	Japanese Restaurant
17882839	Subway
3552721	Pub
3552721	Sports Bar
3552721	Bar
72511552	Cocktail Bar
72511552	Lounge
72511552	Bar
17882839	Building
17882839	Historic Site
18775436	Neighborhood
72756456	Pizza Place
11303192	New American Restaurant
14521044	Seafood Restaurant
14521044	Sushi Restaurant
15023178	Stadium
15023178	Music Venue
15023178	Hockey Arena
17839099	Lounge
17839099	Other Nightlife
17839099	Bar
418	Art Gallery
17882839	Building
17882839	Historic Site
54948353	Ramen / Noodle House
54948353	Japanese Restaurant
17882839	Train Station
17882839	Subway
17882839	Platform
7912682	Hotel
72756456	Ice Cream Shop
72511552	Dessert Shop
72511552	Diner
72511552	Bakery
147821626	Pizza Place
147821626	Cajun / Creole Restaurant
147821626	Italian Restaurant
18166604	Stadium
18166604	Music Venue
18166604	Hockey Arena
39944028	College Residence Hall
17312613	American Restaurant
17312613	Bar
14090937	Bar
14090937	Pub
167076015	Lounge
167076015	Bar
167076015	Nightclub
15097422	General Entertainment
15097422	General Entertainment
66384800	Cocktail Bar
66384800	Wine Bar
66384800	Restaurant
14284465	American Restaurant
14284465	Bar
104077681	Burger Joint
104077681	American Restaurant
104077681	Diner
9082562	Korean Restaurant
22838991	American Restaurant
22838991	Dessert Shop
5546252	Gaming Cafe
14749422	BBQ Joint
14749422	Asian Restaurant
14749422	Cocktail Bar
6473732	Theater
6473732	Rock Club
6473732	Music Venue
72511552	Department Store
72511552	Clothing Store
72511552	Boutique
15871300	French Restaurant
15871300	Lounge
14345719	Music Venue
14345719	Concert Hall
14345719	Nightclub
28666090	Bus Stop
5435752	Airport
14229339	Indian Restaurant
16451530	Gourmet Shop
16451530	Market
16451530	Italian Restaurant
14253707	Stadium
14253707	Music Venue
14253707	Hockey Arena
15432145	Coffee Shop
28666090	Road
14823368	American Restaurant
14823368	New American Restaurant
14823368	Brewery
75216972	Rock Club
75216972	Bar
75216972	Burrito Place
5518082	Drugstore / Pharmacy
102739159	Sake Bar
26823627	Art Gallery
17831473	Concert Hall
17831473	Rock Club
112841699	Concert Hall
112841699	Rock Club
14392194	Sports Bar
14392194	Bar
81307297	Train Station
81307297	Train
81307297	Light Rail
27982905	Sports Bar
27982905	American Restaurant
27982905	Other Nightlife
87477725	Italian Restaurant
18679919	French Restaurant
18679919	Food
20946636	South Indian Restaurant
24922181	Sake Bar
24922181	Japanese Restaurant
17312653	Gastropub
134949994	Home (private)
24922181	Sake Bar
24922181	Japanese Restaurant
28068128	Medical Center
17760469	Cuban Restaurant
17760469	Bar
24480654	Bridge
24480654	Scenic Lookout
14141254	New American Restaurant
14141254	Breakfast Spot
14141254	Cocktail Bar
32454048	Subway
24922181	Sake Bar
24922181	Japanese Restaurant
16419552	Chinese Restaurant
17312653	Lounge
38389963	BBQ Joint
27756109	Pizza Place
15862676	Stadium
15862676	Music Venue
15862676	Hockey Arena
14446667	Bar
29319231	Home (private)
17012267	Cocktail Bar
17012267	Mexican Restaurant
17012267	Lounge
47706672	Church
37551981	Italian Restaurant
5518082	Clothing Store
10245362	Rock Club
10245362	Music Venue
2621591	Movie Theater
172474251	Hotel
24093022	Comedy Club
24093022	Bar
21268732	Convention
21268732	General Entertainment
44583780	Lounge
19634700	Electronics Store
103159876	Gay Bar
103159876	Nightclub
103159876	Bar
25901851	Pub
25901851	American Restaurant
25901851	Bar
25901851	Pub
25901851	American Restaurant
25901851	Bar
20952545	American Restaurant
20952545	Burger Joint
26995777	Asian Restaurant
26995777	Hotel
26995777	Japanese Restaurant
11125352	Coffee Shop
30394939	Steakhouse
108761676	Diner
25311226	Deli / Bodega
25311226	Grocery Store
34792838	American Restaurant
34792838	Breakfast Spot
34792838	Beer Garden
6111852	Stadium
6111852	Music Venue
6111852	Hockey Arena
5237281	Sushi Restaurant
17868428	Italian Restaurant
17868428	American Restaurant
18775436	Chinese Restaurant
18775436	Asian Restaurant
57638181	Lake
58467310	Park
58467310	Scenic Lookout
58467310	Trail
98936119	Restaurant
98936119	Art Gallery
